,title,year,duration,stars,people,image_url
158,El hombre elefante,1980,2h 4m,"8,2", 263 mil,"https://m.media-amazon.com/images/M/MV5BMWU3NzBjNmEtYjE0OC00Y2VkLWJjNzQtZDM1Zjc1NWRkY2RjXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
159,Rashomon,1950,1h 28m,"8,2", 184 mil,"https://m.media-amazon.com/images/M/MV5BMjEzMzA4NDE2OF5BMl5BanBnXkFtZTcwNTc5MDI2NQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg"
160,Crimen perfecto,1954,1h 45m,"8,2", 192 mil,"https://m.media-amazon.com/images/M/MV5BNGEwNGM3ZWYtN2E5ZS00NTEzLThlMTUtODI1ZmIzZDk2Y2RlXkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg"
161,Chinatown,1974,2h 10m,"8,1", 356 mil,"https://m.media-amazon.com/images/M/MV5BNmRmZTE0NmUtZjhiZi00MzQ3LTk3ZjctN2Q3ODYzY2U3MDk3XkEyXkFqcGc@._V1_QL75_UX140_CR0,2,140,207_.jpg"
162,Lo que el viento se llevó,1939,3h 58m,"8,2", 339 mil,"https://m.media-amazon.com/images/M/MV5BYjUyZWZkM2UtMzYxYy00ZmQ3LWFmZTQtOGE2YjBkNjA3YWZlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX140_CR0,3,140,207_.jpg"
163,El secreto de sus ojos,2009,2h 9m,"8,2", 226 mil,"https://m.media-amazon.com/images/M/MV5BMTgwNTI3OTczOV5BMl5BanBnXkFtZTcwMTM3MTUyMw@@._V1_QL75_UY207_CR0,0,140,207_.jpg"
164,Lock & Stock,1998,1h 47m,"8,1", 624 mil,"https://m.media-amazon.com/images/M/MV5BMmY1M2M5ZmMtYzllZC00YzAxLTk4MjktZDJkNjA1MTUwMGQ4XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
165,Del revés (Inside Out),2015,1h 35m,"8,1", 833 mil,"https://m.media-amazon.com/images/M/MV5BMTk4ZDdmMjYtNzE4Zi00NjhjLThkY2ItYTc4NDY5MzQzNWRkXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
166,V de vendetta,2005,2h 12m,"8,1"," 1,2 M","https://m.media-amazon.com/images/M/MV5BYmY5MDUxZDItZjJmNy00MWQxLTlhNDctYTMzOTUyNzY1OTdhXkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg"
167,Tres anuncios en las afueras,2017,1h 55m,"8,1", 566 mil,"https://m.media-amazon.com/images/M/MV5BNTAzMzk4ZDQtNTE5ZC00YzllLWI1MjgtMWQ0YzAxMTk1NTk5XkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg"
168,Toro salvaje,1980,2h 9m,"8,1", 386 mil,"https://m.media-amazon.com/images/M/MV5BNmM3ZDU1ZjUtOTFhMC00YTFkLTg1NmYtZGE4NTBhNDhjYjg2XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
