,title,href,points,by,hours ago,comments
78,Fun with Go Iterators,https://xnacly.me/posts/2024/fun-with-iterators/,153,xnacly,1,121
79,Switching to 5Ghz WiFi made the Raspberry Pi fly again,http://moritzhamann.com/blog/2024-10-08-raspberrypi-wifi-freq.html,23,mrtz,4,16
80,Chemistry Nobel: Computational protein design and protein structure prediction,https://www.nobelprize.org/prizes/chemistry/2024/press-release/,533,mitchbob,2,307
81,Tesla Robotaxi,https://www.tesla.com/we-robot,202,iamwil,7,504
82,The Warlord of Saturn's Moons,https://storyoftheweek.loa.org/2024/10/the-warlord-of-saturns-moons.html,33,mitchbob,23,5
83,BigSearch Browser Extension,https://github.com/garywill/BigSearch,29,Duckyroad,10,discuss
84,Napkin: Back-of-the-envelope calculations in Python,https://github.com/rescrv/napkin,21,HammadB,17,3
85,Owe your banker £1k you are at his mercy; owe him £1m the position is reversed (2019),https://quoteinvestigator.com/2019/04/23/bank/,147,squircle,23,153
86,California bans sell-by dates,https://www.foodandwine.com/california-bans-sell-by-dates-8723111,192,noworld,1,269
87,"Japan's Kojima, with its proud Jeans St, draws fans of vintage, deep-blue denim",https://apnews.com/article/japan-jeans-denim-kojima-indigo-291d243b88d5c8b67108e2641f739569,25,Geekette,17,10
88,Author and Aviator,https://literaryreview.co.uk/author-aviator,13,lermontov,19,discuss
89,Doom updated and re-released on SNES,https://softwareengineeringdaily.com/2024/10/10/doom-on-super-nintendo-with-randy-linden/,3,com2kid,9,discuss
90,Hurricane Milton's Impact: 70 Florida Cities See 50%+ Drop in Internet Traffic,https://twitter.com/CloudflareRadar/status/1844444286911381980,81,emot,16,39
91,"AMD Launches EPYC 9005 ""Turin"" Server Processors Review",https://www.phoronix.com/review/amd-epyc-9005,22,kristianp,11,discuss
92,The strict aliasing situation is pretty bad (2016),https://blog.regehr.org/archives/1307,70,pkkm,1,55
93,The State of the TI Community (1999),https://www.ticalc.org/community/articles/27.html,33,ForHackernews,18,12
94,Tiny Table Index: directory of solo and duet tabletop roleplaying games,https://www.tinytableindex.com/,9,homarp,16,discuss
95,AI-Powered Electronic Component Sorter,https://github.com/Vanguard-s/Electronic-Component-Sorter,19,peter_d_sherman,16,5
96,John Carmack on inlined code (2014),http://number-none.com/blow/blog/programming/2014/09/26/carmack-on-inlined-code.html,545,bpierre,2,382
97,First Report on the Pre-Scheme Restoration,https://prescheme.org/posts/first-report-on-the-pre-scheme-restoration.html,41,paroneayea,10,2
98,Quantum Advantage for NP Approximation,https://scottaaronson.blog/?p=8375,83,apsec112,1,34
99,50 Years of Queries,https://cacm.acm.org/research/50-years-of-queries/,112,rbanffy,1,29
100,Internet Archive: Security breach alert,https://www.theverge.com/2024/10/9/24266419/internet-archive-ddos-attack-pop-up-message,1049,ewenjo,1,584
