,title,href,points,by,hours ago,comments
241,"Press Conference: Professor Geoffrey Hinton, Nobel Prize in Physics 2024 [video]",https://www.youtube.com/watch?v=H7DgMFqrON0,143,moose44,1,20
242,Trap – Transformers in APL,https://github.com/BobMcDear/trap,94,tlack,2,30
243,The Open Source AI Definition RC1 Is Available for Comments,https://opensource.org/blog/the-open-source-ai-definition-v-1-0-rc1-is-available-for-comments,47,foxbee,1,23
244,"Ptxdist – ""Professional Embedded Linux Made Easy""",https://www.ptxdist.org/,60,grodriguez100,3,7
245,Transcript errors generate amyloid-like proteins in human cells,https://www.nature.com/articles/s41467-024-52886-2,4,bookofjoe,13,discuss
246,"Ziggy: Data serialization language for expressing API messages, config files",https://ziggy-lang.io,104,thunderbong,4,15
247,"Croissant – a brand new app for cross-posting to Bluesky, Mastodon, and Threads",https://benricemccarthy.ghost.io/croissant/,4,hn1986,18,discuss
248,"What is ""founder mode""?",https://tomblomfield.com/post/763715798246227968/what-is-founder-mode,86,nqureshi,2,65
249,European govt air-gapped systems breached using custom malware,https://www.welivesecurity.com/en/eset-research/mind-air-gap-goldenjackal-gooses-government-guardrails/,271,tagyro,2,240
250,Why the First Pet Cemetery Was Revolutionary,https://www.smithsonianmag.com/arts-culture/why-the-worlds-first-pet-cemetery-was-revolutionary-180985127/,21,gmays,2,16
251,"Waverley, the last seagoing paddle steamer",https://diamondgeezer.blogspot.com/2024/10/waverley.html,61,zeristor,4,29
252,Fukushima Reactor: TEPCO robot aims to extract nuclear fuel,https://spectrum.ieee.org/fukushima-reactor,145,rbanffy,3,345
253,Chrome Canary just killed uBlock Origin and other Manifest V2 extensions,https://www.androidpolice.com/chrome-canary-manifest-v2-extensions-ad-blockers-gone/,85,abixb,4,46
254,Optimizing Postgres table layout for maximum efficiency,https://r.ena.to/blog/optimizing-postgres-table-layout-for-maximum-efficiency/,201,napsterbr,3,67
255,Unlocking the 'aha' moment: Developer relations for startups,https://www.signalfire.com/blog/devrel-for-startups,70,jonmarkgo,3,10
256,When Earth had rings,https://nautil.us/when-earth-had-rings-920177/,126,rbanffy,5,49
257,OpenAI pursues public benefit structure to fend off hostile takeovers,https://www.ft.com/content/5649b66e-fdb3-46d3-84e0-23e33bdaf363,134,JumpCrisscross,1,68
258,"AT&T, Verizon reportedly hacked to target US govt wiretapping platform",https://www.bleepingcomputer.com/news/security/atandt-verizon-reportedly-hacked-to-target-us-govt-wiretapping-platform/,233,el_duderino,3,58
259,Apple Helping Police Use iPhones for Surveillance,https://www.forbes.com/sites/thomasbrewster/2024/10/09/apple-sells-privacy-to-consumers-but-its-quietly-helping-police-use-iphones-for-surveillance/,34,alexzeitler,1,5
260,A DIY photographer built his own full-frame camera and open-sourced the project,https://www.dpreview.com/articles/0535447263/the-sitina-s1-how-a-determined-diy-photographer-built-his-own-full-frame-camera,160,jbellis,1,30
261,Elon Musk wants to dominate robotaxis–first he needs to catch up to Waymo,https://www.understandingai.org/p/elon-musk-wants-to-dominate-robotaxisfirst,8,xnx,17,2
262,FEMA spent nearly half its disaster budget in just 8 days,https://www.politico.com/news/2024/10/10/fema-disaster-budget-hurricane-helene-melton-00183219,8,impish9208,14,2
263,Unoffice Hours (2020),https://interconnected.org/home/2020/09/24/unoffice_hours,87,andai,4,29
264,The magic (image resampling) kernel,https://johncostella.com/magic/,167,BoingBoomTschak,3,37
265,Gokapi: Lightweight selfhosted Firefox Send alternative with AWS S3 support,https://github.com/Forceu/Gokapi,121,thunderbong,5,37
266,Akin's Laws of Spacecraft Design,https://spacecraft.ssl.umd.edu/old_site/academics/akins_laws.html,7,fanf2,14,1
267,Software-defined processors: the promise of RISC-V,https://next.redhat.com/2024/10/09/software-defined-processors-the-promise-of-risc-v/,5,thebeardisred,1,discuss
268,Abacus Machines [pdf],https://carstenfuehrmann.org/lectures/computability-10.pdf,51,shakna,3,2
269,Julia 1.11 Highlights,https://julialang.org/blog/2024/10/julia-1.11-highlights/index.html,74,jarbus,1,18
270,"For ranchers in Costa Rica, jaguars and pumas become unexpected allies",https://news.mongabay.com/2024/10/for-ranchers-in-costa-rica-jaguars-and-pumas-become-unexpected-allies/,55,PaulHoule,1,18
271,"Ask HN: What's the ""best"" book you've ever read?",item?id=41756432,366,simonebrunozzi,3,923
272,reuters.com,from?site=reuters.com,76,JumpCrisscross,2,55
273,chromewebstore.google.com,from?site=chromewebstore.google.com,269,ziolko,4,32
274,chinamediaproject.org,from?site=chinamediaproject.org,7,bookofjoe,18,discuss
275,newyorker.com,from?site=newyorker.com,22,mitchbob,3,1
276,oup.com,from?site=oup.com,12,Traces,1,5
277,acm.org,from?site=acm.org,210,sohkamyung,1,107
278,science.org,from?site=science.org,67,rbanffy,4,41
279,codeberg.page,from?site=codeberg.page,85,bbbhltz,3,25
280,asimov.com,from?site=asimov.com,95,mailyk,4,134
281,seroundtable.com,from?site=seroundtable.com,8,rntn,15,17
282,youtube.com,from?site=youtube.com,3,tdeck,15,discuss
283,github.com/thudm,from?site=github.com/thudm,154,taikon,3,29
284,antirez.com,from?site=antirez.com,135,drudru,1,60
285,hpyproject.org,from?site=hpyproject.org,257,gjvc,5,87
286,cmu.edu,from?site=cmu.edu,37,todsacerdoti,3,1
287,inc.com,from?site=inc.com,105,happy-go-lucky,1,78
288,dreamsongs.com,from?site=dreamsongs.com,263,t14n,3,329
289,jonathancohenweb.com,from?site=jonathancohenweb.com,82,dadt,3,110
290,stanford.edu,from?site=stanford.edu,118,walterbell,5,31
291,dyalog.com,from?site=dyalog.com,281,secwang,5,194
292,hushkit.net,from?site=hushkit.net,198,speckx,3,627
293,ieee.org,from?site=ieee.org,200,thebeardisred,5,100
294,blogsystem5.substack.com,from?site=blogsystem5.substack.com,49,todsacerdoti,3,33
295,jakelazaroff.com,from?site=jakelazaroff.com,252,veggieroll,3,142
